n,farey_size,raw_gap,f_value,total_pairs_at_gap,rank_left,rank_right,left_num,left_den,right_num,right_den,delta_num,delta_den_down,det,left_den_slack,right_den_slack,center2_left_offset,center2_right_offset,predicted_f,excess_over_predicted,predicted_template
42,543,13,12,1,271,284,20,41,21,40,1,1,61,1,2,-1,2,12,0,True
43,585,15,14,4,83,98,6,43,7,41,1,2,55,0,2,-31,-27,14,0,False
43,585,15,14,4,116,131,8,41,9,40,1,1,49,2,3,-25,-22,14,0,False
43,585,15,14,4,182,197,13,42,14,41,1,1,55,1,2,-16,-13,14,0,False
43,585,15,14,4,291,306,20,41,21,40,1,1,61,2,3,-1,2,14,0,True
44,605,13,12,1,291,304,21,44,22,43,1,1,65,0,1,-2,1,12,0,True
45,629,14,13,3,56,70,4,45,5,44,1,1,49,0,1,-37,-34,13,0,False
45,629,14,13,3,197,211,14,45,15,44,1,1,59,0,1,-17,-14,13,0,False
45,629,14,13,3,314,328,22,45,23,44,1,1,67,0,1,-1,2,13,0,True
46,651,14,13,1,325,339,22,45,23,44,1,1,67,1,2,-1,2,13,0,True
47,697,16,15,3,62,78,4,45,5,44,1,1,49,2,3,-37,-34,15,0,False
47,697,16,15,3,232,248,15,46,16,45,1,1,61,1,2,-16,-13,15,0,False
47,697,16,15,3,347,363,22,45,23,44,1,1,67,2,3,-1,2,15,0,True
48,713,14,13,1,344,358,23,48,24,47,1,1,71,0,1,-2,1,13,0,True
49,755,14,13,1,94,108,6,49,7,48,1,1,55,0,1,-37,-34,14,-1,False
50,775,15,14,2,96,111,6,49,7,48,1,1,55,1,2,-37,-34,14,0,False
50,775,15,14,2,387,402,24,49,25,48,1,1,73,1,2,-1,2,14,0,True
51,807,16,15,2,100,116,6,49,7,48,1,1,55,2,3,-37,-34,16,-1,False
51,807,16,15,2,254,270,16,51,17,50,1,1,67,0,1,-19,-16,16,-1,False
52,831,15,14,1,402,417,25,52,26,51,1,1,77,0,1,-2,1,14,0,True
53,883,16,15,1,441,457,26,53,27,52,1,1,79,0,1,-1,2,15,0,True
54,901,16,15,1,450,466,26,53,27,52,1,1,79,1,2,-1,2,15,0,True
55,941,18,17,5,67,85,4,55,5,54,1,1,59,0,1,-47,-44,17,0,False
55,941,18,17,5,104,122,6,55,7,54,1,1,61,0,1,-43,-40,17,0,False
55,941,18,17,5,297,315,17,54,18,53,1,1,71,1,2,-20,-17,17,0,False
55,941,18,17,5,313,331,18,55,19,54,1,1,73,0,1,-19,-16,17,0,False
55,941,18,17,5,469,487,26,53,27,52,1,1,79,2,3,-1,2,17,0,True
56,965,16,15,1,468,484,27,56,28,55,1,1,83,0,1,-2,1,15,0,True
57,1001,17,16,1,500,517,28,57,29,56,1,1,85,0,1,-1,2,16,0,True
58,1029,17,16,1,514,531,28,57,29,56,1,1,85,1,2,-1,2,16,0,True
59,1087,19,18,2,362,381,19,58,20,57,1,1,77,1,2,-20,-17,18,0,False
59,1087,19,18,2,542,561,28,57,29,56,1,1,85,2,3,-1,2,18,0,True
60,1103,17,16,1,536,553,29,60,30,59,1,1,89,0,1,-2,1,16,0,True
61,1163,18,17,1,581,599,30,61,31,60,1,1,91,0,1,-1,2,17,0,True
62,1193,18,17,1,596,614,30,61,31,60,1,1,91,1,2,-1,2,17,0,True
63,1229,19,18,1,393,412,20,63,21,62,1,1,83,0,1,-23,-20,19,-1,False
64,1261,18,17,1,614,632,31,64,32,63,1,1,95,0,1,-2,1,17,0,True
65,1309,19,18,1,654,673,32,65,33,64,1,1,97,0,1,-1,2,18,0,True
66,1329,19,18,1,664,683,32,65,33,64,1,1,97,1,2,-1,2,18,0,True
67,1395,21,20,3,126,147,6,67,7,66,1,1,73,0,1,-55,-52,20,0,False
67,1395,21,20,3,465,486,22,67,23,66,1,1,89,0,1,-23,-20,20,0,False
67,1395,21,20,3,696,717,32,65,33,64,1,1,97,2,3,-1,2,20,0,True
68,1427,19,18,1,696,715,33,68,34,67,1,1,101,0,1,-2,1,18,0,True
69,1471,20,19,1,735,755,34,69,35,68,1,1,103,0,1,-1,2,19,0,True
70,1495,20,19,1,747,767,34,69,35,68,1,1,103,1,2,-1,2,19,0,True
71,1565,22,21,1,781,803,34,69,35,68,1,1,103,2,3,-1,2,21,0,True
72,1589,20,19,1,776,796,35,72,36,71,1,1,107,0,1,-2,1,19,0,True
73,1661,21,20,1,830,851,36,73,37,72,1,1,109,0,1,-1,2,20,0,True
74,1697,21,20,1,848,869,36,73,37,72,1,1,109,1,2,-1,2,20,0,True
75,1737,23,22,2,326,349,14,75,15,74,1,1,89,0,1,-47,-44,22,0,False
75,1737,23,22,2,867,890,36,73,37,72,1,1,109,2,3,-1,2,22,0,True
76,1773,21,20,1,867,888,37,76,38,75,1,1,113,0,1,-2,1,20,0,True
77,1833,22,21,1,916,938,38,77,39,76,1,1,115,0,1,-1,2,21,0,True
78,1857,22,21,1,928,950,38,77,39,76,1,1,115,1,2,-1,2,21,0,True
79,1935,24,23,1,966,990,38,77,39,76,1,1,115,2,3,-1,2,23,0,True
80,1967,22,21,1,963,985,39,80,40,79,1,1,119,0,1,-2,1,21,0,True
81,2021,23,22,1,1010,1033,40,81,41,80,1,1,121,0,1,-1,2,22,0,True
82,2061,23,22,1,1030,1053,40,81,41,80,1,1,121,1,2,-1,2,22,0,True
83,2143,25,24,1,1070,1095,40,81,41,80,1,1,121,2,3,-1,2,24,0,True
84,2167,23,22,1,1062,1085,41,84,42,83,1,1,125,0,1,-2,1,22,0,True
85,2231,24,23,1,1115,1139,42,85,43,84,1,1,127,0,1,-1,2,23,0,True
86,2273,24,23,1,1136,1160,42,85,43,84,1,1,127,1,2,-1,2,23,0,True
87,2329,26,25,2,752,778,28,87,29,86,1,1,115,0,1,-31,-28,25,0,False
87,2329,26,25,2,1163,1189,42,85,43,84,1,1,127,2,3,-1,2,25,0,True
88,2369,24,23,1,1162,1186,43,88,44,87,1,1,131,0,1,-2,1,23,0,True
89,2457,25,24,1,1228,1253,44,89,45,88,1,1,133,0,1,-1,2,24,0,True
90,2481,25,24,1,1240,1265,44,89,45,88,1,1,133,1,2,-1,2,24,0,True
91,2553,26,25,1,169,195,6,91,7,90,1,1,97,0,1,-79,-76,26,-1,False
92,2597,25,24,1,1275,1300,45,92,46,91,1,1,137,0,1,-2,1,24,0,True
93,2657,26,25,1,1328,1354,46,93,47,92,1,1,139,0,1,-1,2,25,0,True
94,2703,26,25,1,1351,1377,46,93,47,92,1,1,139,1,2,-1,2,25,0,True
95,2775,28,27,1,1386,1414,46,93,47,92,1,1,139,2,3,-1,2,27,0,True
96,2807,26,25,1,1379,1405,47,96,48,95,1,1,143,0,1,-2,1,25,0,True
97,2903,27,26,1,1451,1478,48,97,49,96,1,1,145,0,1,-1,2,26,0,True
98,2945,27,26,1,1472,1499,48,97,49,96,1,1,145,1,2,-1,2,26,0,True
99,3005,29,28,2,975,1004,32,99,33,98,1,1,131,0,1,-35,-32,28,0,False
99,3005,29,28,2,1501,1530,48,97,49,96,1,1,145,2,3,-1,2,28,0,True
100,3045,27,26,1,1497,1524,49,100,50,99,1,1,149,0,1,-2,1,26,0,True
101,3145,28,27,1,1572,1600,50,101,51,100,1,1,151,0,1,-1,2,27,0,True
102,3177,28,27,1,1588,1616,50,101,51,100,1,1,151,1,2,-1,2,27,0,True
103,3279,30,29,1,1638,1668,50,101,51,100,1,1,151,2,3,-1,2,29,0,True
104,3327,28,27,1,1637,1665,51,104,52,103,1,1,155,0,1,-2,1,27,0,True
105,3375,29,28,1,1687,1716,52,105,53,104,1,1,157,0,1,-1,2,28,0,True
106,3427,29,28,1,1713,1742,52,105,53,104,1,1,157,1,2,-1,2,28,0,True
107,3533,31,30,1,1765,1796,52,105,53,104,1,1,157,2,3,-1,2,30,0,True
108,3569,29,28,1,1757,1786,53,108,54,107,1,1,161,0,1,-2,1,28,0,True
109,3677,30,29,1,1838,1868,54,109,55,108,1,1,163,0,1,-1,2,29,0,True
110,3717,30,29,1,1858,1888,54,109,55,108,1,1,163,1,2,-1,2,29,0,True
111,3789,32,31,1,1893,1925,54,109,55,108,1,1,163,2,3,-1,2,31,0,True
112,3837,30,29,1,1890,1920,55,112,56,111,1,1,167,0,1,-2,1,29,0,True
113,3949,31,30,1,1974,2005,56,113,57,112,1,1,169,0,1,-1,2,30,0,True
114,3985,31,30,1,1992,2023,56,113,57,112,1,1,169,1,2,-1,2,30,0,True
115,4073,33,32,1,2035,2068,56,113,57,112,1,1,169,2,3,-1,2,32,0,True
116,4129,31,30,1,2035,2066,57,116,58,115,1,1,173,0,1,-2,1,30,0,True
117,4201,32,31,1,2100,2132,58,117,59,116,1,1,175,0,1,-1,2,31,0,True
118,4259,32,31,1,2129,2161,58,117,59,116,1,1,175,1,2,-1,2,31,0,True
119,4355,34,33,1,2176,2210,58,117,59,116,1,1,175,2,3,-1,2,33,0,True
120,4387,32,31,1,2163,2195,59,120,60,119,1,1,179,0,1,-2,1,31,0,True
121,4497,33,32,1,2248,2281,60,121,61,120,1,1,181,0,1,-1,2,32,0,True
122,4557,33,32,1,2278,2311,60,121,61,120,1,1,181,1,2,-1,2,32,0,True
123,4637,35,34,1,2317,2352,60,121,61,120,1,1,181,2,3,-1,2,34,0,True
124,4697,33,32,1,2317,2350,61,124,62,123,1,1,185,0,1,-2,1,32,0,True
125,4797,34,33,1,2398,2432,62,125,63,124,1,1,187,0,1,-1,2,33,0,True
126,4833,34,33,1,2416,2450,62,125,63,124,1,1,187,1,2,-1,2,33,0,True
127,4959,36,35,1,2478,2514,62,125,63,124,1,1,187,2,3,-1,2,35,0,True
128,5023,34,33,1,2479,2513,63,128,64,127,1,1,191,0,1,-2,1,33,0,True
129,5107,35,34,1,2553,2588,64,129,65,128,1,1,193,0,1,-1,2,34,0,True
130,5155,35,34,1,2577,2612,64,129,65,128,1,1,193,1,2,-1,2,34,0,True
131,5285,37,36,1,2641,2678,64,129,65,128,1,1,193,2,3,-1,2,36,0,True
132,5325,35,34,1,2629,2664,65,132,66,131,1,1,197,0,1,-2,1,34,0,True
133,5433,36,35,1,2716,2752,66,133,67,132,1,1,199,0,1,-1,2,35,0,True
134,5499,36,35,1,2749,2785,66,133,67,132,1,1,199,1,2,-1,2,35,0,True
135,5571,38,37,1,2784,2822,66,133,67,132,1,1,199,2,3,-1,2,37,0,True
136,5635,36,35,1,2783,2819,67,136,68,135,1,1,203,0,1,-2,1,35,0,True
137,5771,37,36,1,2885,2922,68,137,69,136,1,1,205,0,1,-1,2,36,0,True
138,5815,37,36,1,2907,2944,68,137,69,136,1,1,205,1,2,-1,2,36,0,True
139,5953,39,38,1,2975,3014,68,137,69,136,1,1,205,2,3,-1,2,38,0,True
140,6001,37,36,1,2965,3002,69,140,70,139,1,1,209,0,1,-2,1,36,0,True
141,6093,38,37,1,3046,3084,70,141,71,140,1,1,211,0,1,-1,2,37,0,True
142,6163,38,37,1,3081,3119,70,141,71,140,1,1,211,1,2,-1,2,37,0,True
143,6283,40,39,1,3140,3180,70,141,71,140,1,1,211,2,3,-1,2,39,0,True
144,6331,38,37,1,3129,3167,71,144,72,143,1,1,215,0,1,-2,1,37,0,True
145,6443,39,38,1,3221,3260,72,145,73,144,1,1,217,0,1,-1,2,38,0,True
146,6515,39,38,1,3257,3296,72,145,73,144,1,1,217,1,2,-1,2,38,0,True
147,6599,41,40,1,3298,3339,72,145,73,144,1,1,217,2,3,-1,2,40,0,True
148,6671,39,38,1,3298,3337,73,148,74,147,1,1,221,0,1,-2,1,38,0,True
149,6819,40,39,1,3409,3449,74,149,75,148,1,1,223,0,1,-1,2,39,0,True
150,6859,40,39,1,3429,3469,74,149,75,148,1,1,223,1,2,-1,2,39,0,True
151,7009,42,41,1,3503,3545,74,149,75,148,1,1,223,2,3,-1,2,41,0,True
152,7081,40,39,1,3502,3542,75,152,76,151,1,1,227,0,1,-2,1,39,0,True
153,7177,41,40,1,3588,3629,76,153,77,152,1,1,229,0,1,-1,2,40,0,True
154,7237,41,40,1,3618,3659,76,153,77,152,1,1,229,1,2,-1,2,40,0,True
155,7357,43,42,1,3677,3720,76,153,77,152,1,1,229,2,3,-1,2,42,0,True
156,7405,41,40,1,3663,3704,77,156,78,155,1,1,233,0,1,-2,1,40,0,True
157,7561,42,41,1,3780,3822,78,157,79,156,1,1,235,0,1,-1,2,41,0,True
158,7639,42,41,1,3819,3861,78,157,79,156,1,1,235,1,2,-1,2,41,0,True
159,7743,44,43,1,3870,3914,78,157,79,156,1,1,235,2,3,-1,2,43,0,True
160,7807,42,41,1,3863,3905,79,160,80,159,1,1,239,0,1,-2,1,41,0,True
161,7939,43,42,1,3969,4012,80,161,81,160,1,1,241,0,1,-1,2,42,0,True
162,7993,43,42,1,3996,4039,80,161,81,160,1,1,241,1,2,-1,2,42,0,True
163,8155,45,44,1,4076,4121,80,161,81,160,1,1,241,2,3,-1,2,44,0,True
164,8235,43,42,1,4076,4119,81,164,82,163,1,1,245,0,1,-2,1,42,0,True
165,8315,44,43,1,4157,4201,82,165,83,164,1,1,247,0,1,-1,2,43,0,True
166,8397,44,43,1,4198,4242,82,165,83,164,1,1,247,1,2,-1,2,43,0,True
167,8563,46,45,1,4280,4326,82,165,83,164,1,1,247,2,3,-1,2,45,0,True
168,8611,44,43,1,4263,4307,83,168,84,167,1,1,251,0,1,-2,1,43,0,True
169,8767,45,44,1,4383,4428,84,169,85,168,1,1,253,0,1,-1,2,44,0,True
170,8831,45,44,1,4415,4460,84,169,85,168,1,1,253,1,2,-1,2,44,0,True
171,8939,47,46,1,4468,4515,84,169,85,168,1,1,253,2,3,-1,2,46,0,True
172,9023,45,44,1,4468,4513,85,172,86,171,1,1,257,0,1,-2,1,44,0,True
173,9195,46,45,1,4597,4643,86,173,87,172,1,1,259,0,1,-1,2,45,0,True
174,9251,46,45,1,4625,4671,86,173,87,172,1,1,259,1,2,-1,2,45,0,True
175,9371,48,47,1,4684,4732,86,173,87,172,1,1,259,2,3,-1,2,47,0,True
176,9451,46,45,1,4681,4727,87,176,88,175,1,1,263,0,1,-2,1,45,0,True
177,9567,47,46,1,4783,4830,88,177,89,176,1,1,265,0,1,-1,2,46,0,True
178,9655,47,46,1,4827,4874,88,177,89,176,1,1,265,1,2,-1,2,46,0,True
179,9833,49,48,1,4915,4964,88,177,89,176,1,1,265,2,3,-1,2,48,0,True
180,9881,47,46,1,4895,4942,89,180,90,179,1,1,269,0,1,-2,1,46,0,True
181,10061,48,47,1,5030,5078,90,181,91,180,1,1,271,0,1,-1,2,47,0,True
182,10133,48,47,1,5066,5114,90,181,91,180,1,1,271,1,2,-1,2,47,0,True
183,10253,50,49,1,5125,5175,90,181,91,180,1,1,271,2,3,-1,2,49,0,True
184,10341,48,47,1,5124,5172,91,184,92,183,1,1,275,0,1,-2,1,47,0,True
185,10485,49,48,1,5242,5291,92,185,93,184,1,1,277,0,1,-1,2,48,0,True
186,10545,49,48,1,5272,5321,92,185,93,184,1,1,277,1,2,-1,2,48,0,True
187,10705,51,50,1,5351,5402,92,185,93,184,1,1,277,2,3,-1,2,50,0,True
188,10797,49,48,1,5351,5400,93,188,94,187,1,1,281,0,1,-2,1,48,0,True
189,10905,50,49,1,5452,5502,94,189,95,188,1,1,283,0,1,-1,2,49,0,True
190,10977,50,49,1,5488,5538,94,189,95,188,1,1,283,1,2,-1,2,49,0,True
191,11167,52,51,1,5582,5634,94,189,95,188,1,1,283,2,3,-1,2,51,0,True
192,11231,50,49,1,5567,5617,95,192,96,191,1,1,287,0,1,-2,1,49,0,True
193,11423,51,50,1,5711,5762,96,193,97,192,1,1,289,0,1,-1,2,50,0,True
194,11519,51,50,1,5759,5810,96,193,97,192,1,1,289,1,2,-1,2,50,0,True
195,11615,53,52,1,5806,5859,96,193,97,192,1,1,289,2,3,-1,2,52,0,True
196,11699,51,50,1,5800,5851,97,196,98,195,1,1,293,0,1,-2,1,50,0,True
197,11895,52,51,1,5947,5999,98,197,99,196,1,1,295,0,1,-1,2,51,0,True
198,11955,52,51,1,5977,6029,98,197,99,196,1,1,295,1,2,-1,2,51,0,True
199,12153,54,53,1,6075,6129,98,197,99,196,1,1,295,2,3,-1,2,53,0,True
200,12233,52,51,1,6066,6118,99,200,100,199,1,1,299,0,1,-2,1,51,0,True
